2025-08-26 15:49:39 | UID: TX123456 | Amount: Rp15000
2025-08-26 15:49:57 | UID: TX123456 | Amount: Rp15000
2025-08-26 15:50:26 | UID: TX123456 | Amount: Rp15000
2025-08-26 15:50:50 | UID: TX123456 | Amount: Rp15000
2025-08-26 15:56:20 | UID: TX123456 | Amount: Rp15000
2025-08-26 16:18:58 | UID: TX123456 | Amount: Rp15000
2025-08-26 16:20:58 | UID: TX123456 | Amount: Rp15000
2025-08-26 16:27:49 | UID: TX123456 | Amount: Rp15000
2025-08-26 17:03:49 | UID: TX123456 | Amount: Rp15000
2025-08-26 17:04:00 | UID: TX123456 | Amount: Rp15000
2025-08-26 17:04:11 | UID: TX123456 | Amount: Rp15000
2025-08-26 17:04:58 | UID: TX123456 | Amount: Rp15000
2025-08-26 17:05:20 | UID: TX123456 | Amount: Rp15000
2025-08-26 17:05:34 | UID: TX123456 | Amount: Rp15000
2025-08-26 17:05:46 | UID: TX123456 | Amount: Rp15000
2025-08-26 17:05:58 | UID: TX123456 | Amount: Rp15000
2025-08-26 17:06:17 | UID: TX123456 | Amount: Rp15000
2025-08-26 17:06:31 | UID: TX123456 | Amount: Rp15000
2025-08-26 17:06:45 | UID: TX123456 | Amount: Rp15000
2025-08-26 17:07:04 | UID: TX123456 | Amount: Rp15000
2025-08-26 17:07:42 | UID: TX123456 | Amount: Rp15000
2025-08-26 22:05:46 | UID: TX123456 | Amount: Rp15000
2025-08-26 22:06:09 | UID: TX123456 | Amount: Rp15000
2025-08-26 22:13:17 | UID: TX123456 | Amount: Rp15000
2025-08-26 22:20:26 | UID: TX123456 | Amount: Rp15000
2025-08-26 22:20:47 | UID: TX123456 | Amount: Rp15000
2025-08-26 22:21:07 | UID: TX123456 | Amount: Rp15000
2025-08-26 22:21:21 | UID: TX123456 | Amount: Rp15000
2025-08-26 22:22:17 | UID: DOORLOCK001 | Amount: Rp5000
2025-08-26 22:22:50 | UID: DOORLOCK001 | Amount: Rp5000
2025-08-26 22:23:15 | UID: DOORLOCK001 | Amount: Rp5000
